172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /api/rules/app HTTP/1.1" 200 - "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAY"
172.21.0.13 - - [10/Jan/2022:19:17:40 +0000] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAW"
172.21.0.13 - - [10/Jan/2022:19:17:41 +0000] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAZ"
172.21.0.13 - - [10/Jan/2022:19:17:41 +0000] "GET /api/components/search_projects?ps=50&facets=reliability_rating%2Csecurity_rating%2Csecurity_review_rating%2Csqale_rating%2Ccoverage%2Cduplicated_lines_density%2Cncloc%2Calert_status%2Clanguages%2Ctags%2Cqualifier&f=analysisDate%2CleakPeriodDate HTTP/1.1" 200 - "http://sonarqube.local/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5Fa5QUJlmweWWYAAAa"
172.21.0.13 - - [10/Jan/2022:19:28:09 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:28:09 +0000] "GET /api/navigation/global HTTP/1.1" 404 59 "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:28:09 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A17%3A40%2B0000 HTTP/1.1" 200 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:28:09 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:28:15 +0000] "GET /api/system/status HTTP/1.1" 200 82 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "-"
172.21.0.13 - - [10/Jan/2022:19:28:21 +0000] "GET /api/system/status HTTP/1.1" 200 76 "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAA"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET / HTTP/1.1" 200 - "http://sonarqube.local/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAB"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /api/users/current HTTP/1.1" 401 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAE"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /api/navigation/global HTTP/1.1" 401 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAD"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /sessions/new?return_to=%2F HTTP/1.1" 200 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAF"
